SCIENCE DOMAIN,URI,,,,
Anthropology,http://cor.esipfed.org/ont/earthcube/ADO_0000012,,,,
Applied Sciences,http://cor.esipfed.org/ont/earthcube/ADO_0000024,,,,extracted from ADO vocabulary on CORS by SMR
Archaeology,http://cor.esipfed.org/ont/earthcube/ADO_0000013,,,,
Atmospheric Chemistry,http://cor.esipfed.org/ont/earthcube/ADO_0000037,,,,
Atmospheric Dynamics,http://cor.esipfed.org/ont/earthcube/ADO_0000038,,,,
Atmospheric Physics,http://cor.esipfed.org/ont/earthcube/ADO_0000036,,,,
Atmospheric Science,http://cor.esipfed.org/ont/earthcube/ADO_0000033,,,,
Biogeography,http://cor.esipfed.org/ont/earthcube/ADO_0000039,,,,
Biogeology,http://cor.esipfed.org/ont/earthcube/ADO_0000057,,,,
Biogeophysics,http://cor.esipfed.org/ont/earthcube/ADO_0000090,,,,
Biological Oceanography,http://cor.esipfed.org/ont/earthcube/ADO_0000047,,,,
Biology,http://cor.esipfed.org/ont/earthcube/ADO_0003070,,,,
Biostratigraphy,http://cor.esipfed.org/ont/earthcube/ADO_0000108,,,,
Chemical Hydrology,http://cor.esipfed.org/ont/earthcube/ADO_0000080,,,,
Chemical Oceanography,http://cor.esipfed.org/ont/earthcube/ADO_0000048,,,,
Chemistry,http://cor.esipfed.org/ont/earthcube/ADO_0003314,,,,
Climatology,http://cor.esipfed.org/ont/earthcube/ADO_0000035,,,,
Coastal Geography,http://cor.esipfed.org/ont/earthcube/ADO_0000045,,,,
Discipline-agnostic,http://cor.esipfed.org/ont/earthcube/ADO_0000188,,,,
Earth Science,http://cor.esipfed.org/ont/earthcube/ADO_0000021,,,,
Ecohydrology,http://cor.esipfed.org/ont/earthcube/ADO_0000081,,,,
Ecology,http://cor.esipfed.org/ont/earthcube/ADO_0000610,,,,
Economic Geology,http://cor.esipfed.org/ont/earthcube/ADO_0000058,,,,
Edaphology,http://cor.esipfed.org/ont/earthcube/ADO_0000053,,,,
Engineering and Technology,http://cor.esipfed.org/ont/earthcube/ADO_0000027,,,,
Engineering Geology,http://cor.esipfed.org/ont/earthcube/ADO_0000059,,,,
Environmental Chemistry,http://cor.esipfed.org/ont/earthcube/ADO_0000029,,,,
Environmental Geology,http://cor.esipfed.org/ont/earthcube/ADO_0000060,,,,
Environmental Science,http://cor.esipfed.org/ont/earthcube/ADO_0000028,,,,
Exploration Geophysics,http://cor.esipfed.org/ont/earthcube/ADO_0000091,,,,
Formal Sciences,http://cor.esipfed.org/ont/earthcube/ADO_0000023,,,,
Geobiology,http://cor.esipfed.org/ont/earthcube/ADO_0000055,,,,
Geochemistry,http://cor.esipfed.org/ont/earthcube/ADO_0000030,,,,
Geodesy,http://cor.esipfed.org/ont/earthcube/ADO_0000031,,,,
Geodynamics,http://cor.esipfed.org/ont/earthcube/ADO_0000093,,,,
Geologic Modeling,http://cor.esipfed.org/ont/earthcube/ADO_0000061,,,,
