Category,Subcategory,Combined (shown in the form),URI,Definition,Examples,#NAME?,,,,,,,,,,,,,,,,,,,,
Research Planning,Mental Modeling,Research Planning: Mental Modeling,http://cor.esipfed.org/ont/earthcube/SFO_0000015,"Functions that allow users to visually map relevant concepts, processes, and other entities relevant to planning their research.","mindmapping, concept mapping, brainstorming software",,,,,,,,,,,,,,,,,,,,,
Research Planning,Project Planning,Research Planning: Project Planning,http://cor.esipfed.org/ont/earthcube/SFO_0000016,Functions that allow users to develop and manage implementation of a project plan.,"Microsoft Project, GanttPro, Redmine, Airtable, Trello",,,,,,,,,,,,,,,,,,,,,
Research Planning,Logistics Planning,Research Planning: Logistics Planning,http://cor.esipfed.org/ont/earthcube/SFO_0000017,Functions that enable planning for the logistics needed to support research in the field.,"Easyship, LogiMap, DELMIA Quintiq Logistics Planning",,,,,,,,,,,,,,,,,,,,,
Research Planning,Data Management Planning,Research Planning: Data Management Planning,http://cor.esipfed.org/ont/earthcube/SFO_0000018,Functions to enable the development and management of data management plans.,DMPtool,,,,,,,,,,,,,,,,,,,,,
User Interaction,Authentication & Access Control,User Interaction: Authentication & Access Control,http://cor.esipfed.org/ont/earthcube/SFO_0000019,Functions that authenticate and/or control access to specific capabilities.,"OAuth, OpenID",,,,,,,,,,,,,,,,,,,,,
User Interaction,User Interface,User Interaction: User Interface,http://cor.esipfed.org/ont/earthcube/SFO_0000020,Functions that allow a user to interact with a system.,"browsers, flyover country app",,,,,,,,,,,,,,,,,,,,,
User Interaction,Community Support / Social Networking,User Interaction: Community Support / Social Networking,http://cor.esipfed.org/ont/earthcube/SFO_0000021,Functions that allow users to form communities across space and time and to interact with one another remotely.,"AGU Connect, Facebook, MediaWiki, DokuWiki, Google groups, listservs, zoom",,,,,,,,,,,,,,,,,,,,,
User Interaction,Notification,User Interaction: Notification,http://cor.esipfed.org/ont/earthcube/SFO_0000022,"Functions that allow notification of events, or other happenings.","Appwoodoo, OneSignal, Notifu, PyOxidizer",,,,,,,,,,,,,,,,,,,,,
User Interaction,User Management,User Interaction: User Management,http://cor.esipfed.org/ont/earthcube/SFO_0000311,"Functions to create, update and remove user accounts and their rights and capabilities within a system.",,,,,,,,,,,,,,,,,,,,,,
Data Acquisition,Instrument Control,Data Acquisition: Instrument Control,http://cor.esipfed.org/ont/earthcube/SFO_0000023,Functions to control the operation of a scientific instrument.,"MATLAB Instrument Control Box, LabView, Systems Test and Operations Language",,,,,,,,,,,,,,,,,,,,,
