Specification Types,URI,#NAME?,,,,
Data Format Convention,http://cor.esipfed.org/ont/earthcube/SPKT_0000001,,,,,
Naming Convention,http://cor.esipfed.org/ont/earthcube/SPKT_0000002,,,,,
Web Service Convention,http://cor.esipfed.org/ont/earthcube/SPKT_0000003,,,,,
Data Model,http://cor.esipfed.org/ont/earthcube/SPKT_0000004,,,,,sp
Data Model Convention,http://cor.esipfed.org/ont/earthcube/SPKT_0000005,,,,,
Metadata Convention,http://cor.esipfed.org/ont/earthcube/SPKT_0000006,,,,,
Programming Language,http://cor.esipfed.org/ont/earthcube/SPKT_0000007,,,,,
Data Conversion,http://cor.esipfed.org/ont/earthcube/SPKT_0000008,,,,,
Metadata Vocabulary,http://cor.esipfed.org/ont/earthcube/SPKT_0000009,,,,,
File Packaging Convention,http://cor.esipfed.org/ont/earthcube/SPKT_0000010,,,,,
Interoperability Specification,http://cor.esipfed.org/ont/earthcube/SPKT_0000011,,,,,
API,http://cor.esipfed.org/ont/earthcube/SPKT_0000012,,,,,
Process Model,http://cor.esipfed.org/ont/earthcube/SPKT_0000013,,,,,
